Number,Address,List Date,Price,Days on market,Total floor area,Year Built,Age,Lot Size,Latitude,Longitude
1173,2476 E 6TH AVENUE,9/3/2019,1638000,6,3586,1982,37,6039.0,49.2645904,-123.0552108
1174,1764 W 57TH AVENUE,5/2/2019,2050000,61,3298,1931,88,5600.0,49.21919519999999,-123.1470725
1175,1231 SE MARINE DRIVE,11/14/2019,935000,7,2010,1958,61,3201.0,49.21135839999999,-123.0815059
1176,151/153 W 18TH AVENUE,10/25/2019,2250000,6,2611,1924,95,4537.5,49.2549502,-123.1085707
1177,3654 E PENDER STREET,7/17/2019,1900000,78,4419,2015,4,5115.0,49.2800085,-123.0246163
1178,4334 PRINCE EDWARD STREET,6/27/2019,1265000,0,1500,1957,62,3577.5,49.24626869999999,-123.0965568
1179,3520 W 31 AVENUE,3/16/2020,2240000,7,2530,1975,45,4318.0,49.2440018,-123.1830625
1180,842 KEEFER STREET,8/27/2019,2100000,6,2727,1910,109,3050.0,49.2790243,-123.0862359
1181,7315 NANAIMO STREET,3/27/2020,1480000,3,2462,1964,56,4225.0,49.2177453,-123.0595786
1182,1108 W 41ST AVENUE,6/18/2019,2080000,15,2584,1947,72,7405.0,49.2337236,-123.1303646
1183,1738 W 49TH AVENUE,7/18/2019,2483810,4,2624,2018,1,3748.8,49.22683139999999,-123.1462922
1184,419 E 60TH AVENUE,11/12/2019,1372000,60,2271,1982,38,3892.0,49.2159906,-123.0968043
1185,6988 MCKINNON STREET,1/23/2019,2825000,203,4625,2017,2,5500.0,49.22033159999999,-123.0388141
1186,5704 KERR STREET,3/2/2020,1252000,4,2553,1941,79,4121.7,49.2327917,-123.0398764
1187,6675 BERKELEY STREET,12/9/2019,1715000,27,2610,1994,26,4356.0,49.2233291,-123.058064
1188,3158 WELLINGTON AVENUE,10/8/2019,1400000,22,2497,1970,49,5155.72,49.24351859999999,-123.0392251
1189,136 E 44TH AVENUE,8/7/2019,1290000,62,1841,1944,75,3894.4,49.2300997,-123.1029636
1190,375 W 23RD AVENUE,3/17/2020,2470000,6,2597,1911,109,4900.0,49.2503514,-123.1122968
1191,6483 WILTSHIRE STREET,11/1/2019,2700000,114,3841,1928,92,8775.0,49.2272863,-123.1469298
1192,3505 FLEMING STREET,1/20/2020,1030000,8,1600,1910,110,2722.5,49.2533902,-123.0717994
1193,3234 PRINCE EDWARD STREET,3/9/2020,950000,26,1601,1912,108,2382.36,49.2560207,-123.0962146
1194,555 E 7TH AVENUE,1/20/2020,1660000,1,2322,1905,115,4026.0,49.2644984,-123.0916916
1195,3809 W 24TH AVENUE,4/29/2020,2315000,13,2235,1978,42,4026.0,49.2512763,-123.1884488
1196,7550 JASPER CRESCENT,1/27/2020,1869000,77,3578,1992,28,6348.0,49.2157655,-123.0697578
1197,5023 SHERBROOKE STREET,7/11/2019,1190000,3,945,1946,73,3234.0,49.2390347,-123.0816389
1198,1979 CHARLES STREET,9/4/2019,2048000,27,2066,2019,0,2732.8,49.2731754,-123.0638807
1199,6183 DUMFRIES STREET,9/12/2019,1885000,100,2857,2012,8,4049.0,49.2282149,-123.0747911
1200,3172 E 62ND AVENUE,5/26/2020,1601000,3,2119,1973,47,7000.0,49.2134075,-123.037446
1201,2988 E 52ND AVENUE,11/1/2019,1844000,21,2728,2019,0,3978.0,49.221523,-123.0431459
1202,2080 CASSIAR STREET,8/21/2019,1230000,28,2458,1966,53,4131.58,49.2659511,-123.030863
1203,5229 WINDSOR STREET,1/22/2020,1500000,5,2136,1970,50,3300.0,49.23756729999999,-123.0849536
1204,5260 INVERNESS STREET,4/27/2020,1425000,25,1838,1910,110,3382.0,49.2372548,-123.0799994
1205,622 W 27TH AVENUE,7/5/2019,3000000,38,2489,1945,74,7063.0,49.2468626,-123.1190457
1206,4733 FLEMING STREET,6/13/2019,1550000,105,2400,1993,26,4102.0,49.2424993,-123.0725155
1207,908 NOOTKA STREET,10/24/2019,1430000,56,1791,1958,62,3435.3,49.2762875,-123.041086
1208,3675 W 24TH AVENUE,8/20/2018,1900000,303,2287,1993,26,4029.3,49.25127639999999,-123.1864687
1209,3465 SEAFORTH DRIVE,8/20/2019,1230000,61,1570,1948,71,6088.62,49.25423,-123.0313767
1210,6695 CLARENDON STREET,4/16/2019,1450000,112,2484,1964,55,4889.0,49.2228102,-123.0565441
1211,4547 WELWYN STREET,9/5/2019,1450000,56,2398,1927,92,3146.0,49.2440708,-123.0703689
1212,3247 W 6TH AVENUE,3/2/2020,2255000,55,2366,1927,93,3630.0,49.2669783,-123.1768828
1213,2403 CAMBRIDGE STREET,2/4/2019,1400000,207,2575,1909,110,4021.0,49.28698989999999,-123.0561165
1214,555 E 52ND AVENUE,1/3/2020,1715000,44,3000,1979,41,4880.0,49.2229213,-123.093184
1215,4045 PERRY STREET,7/5/2019,1145000,50,2310,1965,54,3861.0,49.2491116,-123.0715655
1216,120 E 41ST AVENUE,6/14/2019,1313000,18,2230,1961,58,3795.0,49.23286479999999,-123.1029742
1217,2909 GRAVELEY STREET,9/16/2019,1188000,3,1980,1940,79,4254.5,49.27064319999999,-123.0438017
1218,2858 E 23RD AVENUE,12/30/2019,2100000,7,3450,2019,1,3960.0,49.2494299,-123.04519
1219,5750 ATHLONE STREET,7/12/2019,2700000,4,3300,1927,92,8700.0,49.2336798,-123.1362021
1220,241 W 22ND AVENUE,7/8/2019,2900000,6,2823,2003,16,4026.0,49.25129020000001,-123.1106085
1221,1258 E 27TH AVENUE,11/5/2019,1360000,6,1518,1945,74,4752.0,49.2462352,-123.0789459
1222,542 E 50TH AVENUE,9/3/2019,1519000,9,2395,1912,107,4356.0,49.2243374,-123.0933669
1223,3084 GRANDVIEW HIGHWAY,6/19/2019,1110000,6,2523,1937,82,4866.8,49.2578956,-123.0395509
1224,2209 E 7TH AVENUE,10/3/2019,1510000,0,1894,1923,96,4191.0,49.2644757,-123.0597404
1225,2281 E 40TH AVENUE,3/29/2019,1880000,204,3151,2003,16,5605.6,49.2343357,-123.0595372
1226,1277 E 64TH AVENUE,12/2/2019,1433000,3,2577,1992,27,3960.0,49.2121868,-123.0805144
1227,2349 ROSEDALE DRIVE,2/12/2020,1716250,22,2797,1968,52,6960.0,49.2079529,-123.0578403
1228,136 E 53RD AVENUE,11/14/2018,1830000,370,2336,1996,23,3897.0,49.221763,-123.1030582
1229,3798 PUGET DRIVE,10/8/2019,3000000,8,2997,2016,3,3513.34,49.2529417,-123.1734344
1230,1568 E 58TH AVENUE,7/19/2019,2600000,48,3744,2015,4,5117.5,49.2170702,-123.0745492
1231,4470 W 12TH AVENUE,10/24/2019,2800000,7,2444,1995,24,4026.0,49.2617868,-123.2082826
1232,1606 E 59TH AVENUE,4/8/2020,2400000,31,3720,2019,1,4242.6,49.2161579,-123.073814
1233,1310 E 24TH AVENUE,1/27/2020,1555000,7,2442,1924,96,3414.0,49.2488129,-123.077776
1234,2128 W 46TH AVENUE,10/1/2019,2950000,121,2814,2016,4,3919.0,49.2296828,-123.1568251
1235,4093 DUNBAR STREET,3/11/2019,2761905,85,3082,2019,0,3630.0,49.250293,-123.1855746
1236,818 W 24TH AVENUE,6/10/2019,2850000,21,2594,2009,10,4323.0,49.2498898,-123.122848
1237,3107 E 29TH AVENUE,8/12/2019,1240200,20,2525,1973,46,3544.0,49.2448095,-123.0387685
1238,750 W 52ND AVENUE,2/27/2020,2500000,5,4370,1959,61,6957.0,49.223099,-123.1221261
1239,3189 E 5TH AVENUE,6/4/2019,1235000,6,1774,1927,92,4154.0,49.2659538,-123.037033
1240,6816 TODERICK STREET,6/19/2019,1988000,5,3745,1972,47,11351.0,49.2219567,-123.0307545
1241,8150 FRENCH STREET,12/29/2018,2715000,264,2971,2011,8,4111.0,49.2118975,-123.1387875
1242,2551 PANDORA STREET,11/29/2019,1475000,9,2849,1941,78,4026.0,49.2831942,-123.0532147
1243,2956 WATERLOO STREET,3/18/2020,1900000,50,2252,1927,93,3960.0,49.2601454,-123.1796353
1244,4550 GOTHARD STREET,7/1/2019,1085000,95,1673,1926,93,3630.0,49.2439775,-123.0513431
1245,5557 STAMFORD STREET,5/1/2019,1190000,209,1459,1959,60,4818.0,49.2338637,-123.0315201
1246,2938 W 20TH AVENUE,7/24/2019,2848000,20,2475,1991,28,4026.0,49.2544095,-123.1711843
1247,5855 LINCOLN STREET,3/25/2019,1438000,162,3172,1929,90,6276.0,49.2309841,-123.0268212
1248,2475 E 54TH AVENUE,2/19/2020,1950000,65,3850,1981,39,8745.0,49.22048969999999,-123.0569279
1249,4563 W 11TH AVENUE,2/19/2020,2300000,8,2270,1932,88,4019.4,49.2631372,-123.2111505
1250,5939 BATTISON STREET,7/16/2019,1588000,13,2628,1970,49,6534.0,49.2298986,-123.030979
1251,2343 E 2ND AVENUE,4/20/2020,1450000,7,2106,1926,94,4026.0,49.2688334,-123.0574254
1252,6568 BALSAM STREET,5/21/2019,1746000,30,2214,1922,97,3450.0,49.22633860000001,-123.1609631
1253,2860 LAKEWOOD DRIVE,5/10/2019,1150000,55,1950,1928,91,3416.0,49.25893,-123.06184
1254,5742 SHERBROOKE STREET,2/20/2020,1470000,6,2304,1984,36,4026.0,49.2321825,-123.0808654
1255,807 W 61ST AVENUE,10/28/2019,1750000,6,2589,1977,42,4286.7,49.2158094,-123.1247251
1256,1271 E 14TH AVENUE,11/25/2019,1985000,14,2651,1927,92,6350.0,49.2580558,-123.0783553
1257,3085 E 28 AVENUE,6/14/2019,1070000,34,1730,1932,87,3729.0,49.2456447,-123.0396676
1258,5086 ROSS STREET,7/8/2019,953000,35,1572,1946,73,3234.0,49.238403,-123.0821187
1259,3382 CHURCH STREET,7/10/2019,960000,56,1700,1930,89,4026.0,49.23365860000001,-123.0329769
1260,1144 E 21ST AVENUE,9/26/2019,1250000,2,2250,1993,26,4026.0,49.2515671,-123.0808252
1261,4314 PRINCE EDWARD STREET,3/16/2020,1960000,7,2017,1993,27,3577.5,49.2464421,-123.0965424
1262,5865 BATTISON STREET,3/22/2019,1030000,131,1700,1930,89,4356.0,49.2307662,-123.0309941
1263,575 W 17TH AVENUE,5/21/2019,1820000,55,2392,1927,92,4023.36,49.2562681,-123.1170544
1264,6515 ELLIOTT STREET,10/28/2019,1386000,2,2020,1962,57,5567.07,49.224583,-123.0550699
1265,1308 E 61ST AVENUE,2/27/2020,1350000,26,2432,1957,63,3795.0,49.2144328,-123.079813
1266,2045 E 51ST AVENUE,9/3/2019,1275000,2,1786,1946,73,4026.0,49.223353,-123.0647203
1267,3023 VICTORIA DRIVE,3/16/2020,1599000,5,2503,1912,108,4026.0,49.2573228,-123.0663363
1268,3544 E 28TH AVENUE,1/10/2020,1268000,2,1790,1957,63,3762.0,49.2451656,-123.0275268
1269,3147 E 5TH AVENUE,7/2/2019,1300000,4,2578,1967,52,4154.0,49.26600699999999,-123.0378689
1270,2660 TRINITY STREET,7/8/2019,2285714,33,3327,2019,0,4088.0,49.289473,-123.050444
1271,250 E 54TH AVENUE,7/15/2019,1165000,24,1836,1955,64,3894.0,49.2208202,-123.1006339
1272,2330 DUNDAS STREET,7/1/2019,1200000,10,1977,1949,70,4057.0,49.2845259,-123.057283
1273,385 W 22ND AVENUE,3/21/2020,2450000,20,2754,1930,90,4026.0,49.2513286,-123.1124068
1274,3781 W 27TH AVENUE,3/3/2020,2350000,1,2578,1926,94,6443.42,49.2483168,-123.1877049
1275,1733 E 1ST AVENUE,2/3/2019,2125000,321,2621,1904,116,6214.72,49.2697928,-123.0687955
1276,1280 E 27 AVENUE,4/23/2019,1258000,56,1845,1955,64,4752.0,49.2462498,-123.0785322
1277,3892 W 50TH AVENUE,11/1/2019,2135000,125,1980,1948,72,7809.0,49.2262301,-123.1904777
1278,535 E 31ST AVENUE,3/18/2020,1903000,5,2562,2005,15,3150.0,49.24287589999999,-123.0933781
1279,4258 ONTARIO STREET,7/24/2019,1928000,6,2017,1977,42,2643.0,49.2476525,-123.1047265
1280,7458 INVERNESS STREET,3/19/2019,1540000,78,2262,2000,19,4343.0,49.21688109999999,-123.0797725
1281,2690 NAPIER STREET,11/4/2019,1210000,122,1710,1944,76,3564.0,49.27476559999999,-123.0497575
1282,2011 E 4TH AVENUE,7/15/2019,1590000,8,1953,1928,91,4026.0,49.2670563,-123.0635455
1283,3569 ANZIO DRIVE,7/2/2019,1820000,6,3979,1989,30,6600.0,49.251364,-123.0283782
1284,2890 W 11TH AVENUE,3/2/2020,2585000,7,2558,1932,88,4026.0,49.2620942,-123.1700654
1285,4443 W 14TH AVENUE,3/9/2020,2780000,8,2447,1994,26,4026.0,49.26038029999999,-123.2076644
1286,6061 KERR STREET,9/16/2019,1518000,14,2454,1966,53,5404.0,49.2286761,-123.0412382
1287,7087 CYPRESS STREET,5/30/2019,3000000,6,4040,1928,91,8580.0,49.22108919999999,-123.150003
1288,3470 W 6TH AVENUE,5/29/2019,2135000,26,2985,1920,99,3630.0,49.2666056,-123.181176
1289,6140 LANARK STREET,10/23/2019,1361400,5,2630,1982,37,4049.0,49.2285873,-123.0754267
1290,4866 MANOR STREET,3/16/2019,880000,257,1747,1911,108,3267.0,49.24074599999999,-123.0400663
1291,526 E 61ST AVENUE,8/21/2019,1029000,38,1700,1953,66,3465.0,49.2147386,-123.093746
1292,3081 E 6TH AVENUE,1/10/2020,1425000,24,2090,1969,51,4026.0,49.26500189999999,-123.0397361
1293,628 E 19TH AVENUE,10/8/2019,1909750,12,2100,2013,6,3019.5,49.2535269,-123.0913641
1294,1826 E 12TH AVENUE,3/25/2020,1050000,22,2200,1912,108,4092.0,49.259369,-123.0672947
1295,5260 INVERNESS STREET,4/1/2019,1180000,279,1840,1910,110,3383.0,49.2372548,-123.0799994
1296,2716 E 24TH AVENUE,9/16/2019,1375000,12,2337,1948,71,4026.0,49.2486013,-123.0485415
1297,1697 E 22ND AVENUE,1/22/2020,1930000,22,4272,1928,92,5696.17,49.2505688,-123.0697107
1298,65 W KING EDWARD AVENUE,8/22/2019,2630000,42,3035,1939,80,7456.0,49.2491371,-123.1065557
1299,3150 E 52ND AVENUE,8/17/2019,1450000,14,2282,1974,45,3993.0,49.2218046,-123.039898
1300,4478 PRINCE ALBERT STREET,2/24/2020,2798000,4,3501,2016,4,3960.0,49.2448706,-123.0876736
1301,4038 MILLER STREET,4/5/2019,900000,194,2440,1912,107,3297.0,49.24908480000001,-123.0683464
1302,2040 E 39TH AVENUE,3/3/2020,1600000,7,2627,1974,46,4697.0,49.2346711,-123.0645333
